payoff,model,monthly,axis,h,contracts,mean_MC_delta,delta_MAE,delta_RMSE,resolved_rows,direction_agreement
legacy,deeponet,False,last_strike,-0.025,64,18.12897345667515,15.493458081684173,20.454514356439844,270,0.9296296296296296
legacy,deeponet,False,last_strike,-0.01,64,6.99939657664657,6.292280057962193,8.280509716724993,230,0.9347826086956522
legacy,deeponet,False,last_strike,-0.005,64,3.4330275135181436,3.1667823763308895,4.177028146646384,160,0.95
legacy,deeponet,False,last_strike,0.005,64,-3.359949978114811,3.198300679048592,4.220768490293625,160,0.95625
legacy,deeponet,False,last_strike,0.01,64,-6.708253060457151,6.484222351593237,8.541228167293678,225,0.9333333333333333
legacy,deeponet,False,last_strike,0.025,64,-16.145281797847367,16.99257849259992,22.545361707236417,260,0.9461538461538461
legacy,deeponet,False,last_strike,0.05,64,-29.55108097201374,37.80809376480439,50.54024011123344,270,0.9629629629629629
legacy,deeponet,True,coupon_regular,-0.01,33,-99.31185905504967,20.13854921413926,23.959401197565462,165,1.0
legacy,deeponet,True,coupon_regular,-0.005,33,-49.65592952752487,10.003508485745954,11.869685878714323,165,1.0
legacy,deeponet,True,coupon_regular,-0.0025,33,-24.827964763762342,4.987494237270441,5.9221900223625,165,1.0
legacy,deeponet,True,coupon_regular,-0.001,33,-9.93118590550494,1.9928573944985697,2.367357971103344,165,1.0
legacy,deeponet,True,coupon_regular,0.001,33,9.931185905505114,1.9925116455312533,2.3668895014514044,165,1.0
legacy,deeponet,True,coupon_regular,0.0025,33,24.827964763762544,4.982561516791396,5.9188613208622245,165,1.0
legacy,deeponet,True,coupon_regular,0.005,33,49.65592952752506,9.966402216318366,11.852054113627785,165,1.0
legacy,deeponet,True,coupon_regular,0.01,33,99.3118590550499,19.97863260210747,23.824722919871736,165,1.0
legacy,deeponet,True,first_strike,-0.05,33,29.74368001640128,29.563739705913584,38.76791366635248,165,0.8121212121212121
legacy,deeponet,True,first_strike,-0.025,33,11.33685415412883,16.42953894106776,21.245263295761287,155,0.8064516129032258
legacy,deeponet,True,first_strike,-0.01,33,3.8432598635618818,6.848925289972867,8.874061003238921,150,0.8133333333333334
legacy,deeponet,True,first_strike,-0.005,33,1.7668073910318864,3.4963152851033006,4.558540172527034,150,0.8133333333333334
