item,isu_ord,opt_type,ki_yn,fair,mc,mc_iv,n_iv_udl
KR6593311527,735631,STEP,0,0.853142,1.0074488,1.0093036,0
KR6593310529,735631,STEP,0,0.877984,1.0030079,1.0037956,0
KR6703312522,735631,STEP,0,0.946010101010101,1.0006831,1.0008177,0
KR6513309528,735631,STEP,1,0.917818,0.9995341,1.0004897,0
KR6503301527,735631,STEP,0,0.904532,1.022771,1.0252765,0
20150128000263_200,735631,STEP,0,0.873093,0.9822317,0.98447573,0
KR6513306524,735631,STEP,1,0.911197,0.9774613,0.97712994,0
KR6593307525,735631,STEP,1,0.85711,0.9708781,0.9719823,0
KR6593308523,735631,STEP,1,0.847234,0.9608842,0.9605899,0
KR6523318527,735631,STEP,1,0.8880505050505051,1.0112183,1.0122473,0
KR6523317529,735631,STEP,0,0.9069838383838384,1.0059601,1.0065074,0
KR6593309521,735631,STEP,1,0.862692,0.9997448,1.0013515,0
KR6573311521,735631,STEP,0,0.883229,1.0108355,1.0121461,0
KR6703301525,735631,STEP,1,0.94279,1.0069481,1.0070436,0
KR6513305526,735631,STEP,1,0.902813,0.97808945,0.9785528,0
KR6593305529,735631,STEP,1,0.8711610000000001,1.0052962,1.0060135,0
KR6593306527,735631,STEP,1,0.859554,0.9993707,0.99898994,0
KR6553313521,735631,STEP,0,0.9207727272727272,1.0084186,1.0092229,0
KR6513312522,735631,STEP,0,0.906561616161616,0.9784729,0.9799631,0
KR6573316520,735631,STEP,1,0.927602,0.9958328,0.9989273,0
KR6523303529,735632,STEP,1,0.874649,1.0130606,1.015358,0
KR6523305524,735632,STEP,1,0.8624569999999999,0.99755836,0.99710196,0
KR6523306522,735632,STEP,1,0.840723,0.99215996,0.9923242,0
KR6553339526,735632,STEP,1,0.9494898989898992,1.0015348,1.0016662,0
KR6543307526,735632,STEP,1,0.9887878787878788,1.0080013,1.0088675,0
KR6573324524,735633,STEP,1,0.8767799999999999,0.9986814,0.99823326,0
KR6553338528,735633,STEP,1,0.9596949494949496,1.0105124,1.0132324,0
KR6573325521,735633,STEP,0,0.8928389999999999,1.0033545,1.0040102,0
KR6553343528,735633,STEP,1,0.9427939393939394,1.0093737,1.0106051,0
KR6773301520,735633,STEP,1,0.9157969696969696,1.0110142,1.0124667,0
KR6553342520,735633,STEP,1,0.9445040404040403,1.0045905,1.0056765,0
KR6503309520,735633,STEP,0,0.950462,0.9995627,1.0002447,0
KR6573326529,735633,STEP,1,0.829556,0.9847591,0.9833208,0
KR6503311526,735633,STEP,0,0.925705,0.9993811,0.99996495,0
KR6503312524,735633,STEP,0,0.907538,1.0033046,1.0052387,0
KR6523312520,735634,STEP,1,0.8608,0.99203545,0.99444383,0
KR6513350522,735634,STEP,1,0.8991797979797979,1.0121361,1.0125717,0
KR6523313528,735634,STEP,1,0.8633959999999999,0.9956821,0.9959032,0
KR6583327525,735634,STEP,0,0.9279868686868686,1.0000339,1.0016098,0
KR6553341522,735634,STEP,1,0.9427939393939394,1.0103543,1.0112687,0
KR6503319529,735635,STEP,0,0.9231313131313132,1.0056363,1.0055217,0
KR6573344522,735635,STEP,1,0.822312,0.9900397,0.9880725,0
KR6573345529,735635,STEP,1,0.879503,0.9994292,1.0010854,0
KR6543301529,735635,STEP,1,0.9238,0.99710107,0.9962546,0
KR6583319522,735635,STEP,1,0.9157655,1.0070454,1.0087408,0
KR6573346527,735635,STEP,1,0.898459,1.0051368,1.005808,0
KR6573348523,735635,STEP,0,0.899769,1.0073369,1.0116825,0
KR6553370521,735635,STEP,0,0.957020202020202,1.0118119,1.0155231,0
