payoff,cohort,model,seed,scope,structure,n_rows,n_families,price_mae,price_rmse,price_r2,delta_mae,delta_rmse,delta_bias,within_1,within_5,within_10,resolved_n,resolved_sign
detailed,regular_test,augmented_delta,ensemble,terms,STEP no-KI,800,32,61.941790896265246,82.02127992872336,0.9557347966490782,11.424366794724387,22.136050512408136,-1.579607903528868,0.19921875,0.53515625,0.7122395833333334,728,0.9381868131868132
detailed,regular_test,augmented_price,101,schedule,LIZARD KI,322,32,76.7457303943157,104.37910983211172,0.8291220236897731,47.7380551989656,77.79152421027113,-5.619683220170247,0.024844720496894408,0.16459627329192547,0.30434782608695654,300,0.5066666666666667
detailed,regular_test,augmented_price,101,schedule,LIZARD no-KI,310,32,95.19678924296916,126.83604660744868,0.9532346740365271,43.18863811074429,76.48800373990194,-8.660488037958347,0.04838709677419355,0.2,0.3258064516129032,292,0.8184931506849316
detailed,regular_test,augmented_price,101,schedule,STEP KI,313,32,100.84416232763787,147.30095030734435,0.9166042164391552,61.41465465277199,116.48698348127996,-19.52968871073485,0.009584664536741214,0.15335463258785942,0.28115015974440893,283,0.6537102473498233
detailed,regular_test,augmented_price,101,schedule,STEP no-KI,322,32,115.08987141671227,156.9169068951796,0.8358118390529087,51.565582053066365,99.5707615283287,-19.567085862936796,0.06832298136645963,0.2080745341614907,0.35093167701863354,281,0.7900355871886121
detailed,regular_test,augmented_price,101,terms,LIZARD KI,1056,32,60.97179180358661,73.84273334412995,0.9089399889735322,8.75509048178899,17.866517751908507,0.052580169307496816,0.203125,0.5947265625,0.75390625,731,0.8549931600547196
detailed,regular_test,augmented_price,101,terms,LIZARD no-KI,800,32,84.57715131532706,107.1284424500473,0.9648111665678588,9.84504146840149,18.974800104881638,-0.845777812978227,0.17447916666666666,0.55078125,0.73046875,691,0.8986975397973951
detailed,regular_test,augmented_price,101,terms,STEP KI,1056,32,82.0266503100936,110.3114259367511,0.951627691308126,11.574398353895102,23.659181209772576,-1.2339013800431964,0.1923828125,0.5380859375,0.708984375,842,0.9667458432304038
detailed,regular_test,augmented_price,101,terms,STEP no-KI,800,32,99.8191135291222,134.27597024360765,0.8813668730383064,15.510944888857543,29.55080850684377,-2.0805637294075416,0.16927083333333334,0.4609375,0.62109375,728,0.9409340659340659
detailed,regular_test,augmented_price,233,schedule,LIZARD KI,322,32,70.97360834422,98.25162143212394,0.8485956451650941,49.96238915046225,82.15828958594153,-3.025405864928767,0.043478260869565216,0.17391304347826086,0.2888198757763975,300,0.47
detailed,regular_test,augmented_price,233,schedule,LIZARD no-KI,310,32,85.76222399306164,112.6698914860904,0.963097624467521,41.91164421288914,73.96353824044982,-5.714424642488926,0.041935483870967745,0.2064516129032258,0.3258064516129032,292,0.815068493150685
detailed,regular_test,augmented_price,233,schedule,STEP KI,313,32,120.09379532606691,173.44582301714064,0.8843726194615785,70.02076876551313,133.32046086740303,-22.850592915374612,0.025559105431309903,0.14696485623003194,0.26517571884984026,283,0.6360424028268551
detailed,regular_test,augmented_price,233,schedule,STEP no-KI,322,32,124.24425838603072,156.96452134047425,0.8357121823051765,49.99379380715501,89.53838664947678,-15.563158658757331,0.024844720496894408,0.16770186335403728,0.30434782608695654,281,0.7259786476868327
detailed,regular_test,augmented_price,233,terms,LIZARD KI,1056,32,51.82931653421014,62.46458269942442,0.9348401829281957,8.400403590497248,17.569703209706102,-0.21704761134603953,0.2138671875,0.59765625,0.771484375,731,0.8549931600547196
detailed,regular_test,augmented_price,233,terms,LIZARD no-KI,800,32,74.4622848866053,89.73852322704681,0.9753081787277513,9.15432758949454,17.56518993110563,-1.2809049135750523,0.20703125,0.5703125,0.7473958333333334,691,0.9073806078147613
detailed,regular_test,augmented_price,233,terms,STEP KI,1056,32,97.66341192617288,128.85207152383518,0.9340008064876403,13.07510514470947,25.400594911742296,-1.442145689803826,0.14453125,0.4951171875,0.67578125,842,0.9667458432304038
