payoff,split,origin,monthly,structure,axis,offset,scope,n_families,mean_delta,median_delta,min_delta,max_delta,mean_delta_se,positive,negative
detailed,stress,previous_real_terms_synthetic,False,LIZARD KI,ki_barrier,-0.005,terms,23,10.671486824237252,7.235665371348489,0.0392431028363877,30.258353317123458,0.6507983442248244,23,0
detailed,stress,previous_real_terms_synthetic,False,LIZARD KI,ki_barrier,0.005,terms,23,-10.575043632914447,-6.907668323574876,-25.934166809899565,0.0,0.6436582579266722,0,22
detailed,stress,previous_real_terms_synthetic,False,LIZARD KI,ki_barrier,0.01,terms,23,-21.057688252302775,-13.65938854055411,-51.42247362179552,0.0,0.9081073862111657,0,22
detailed,stress,previous_real_terms_synthetic,False,LIZARD KI,ki_barrier,0.025,terms,23,-50.91723484197604,-36.19944079525176,-114.72945091313166,0.0,1.40006371854265,0,22
detailed,stress,previous_real_terms_synthetic,False,LIZARD KI,ki_barrier,0.05,terms,23,-96.41877319882204,-82.98259518535232,-199.7416668544072,0.0,1.9094703269790425,0,22
detailed,stress,previous_real_terms_synthetic,False,LIZARD KI,last_strike,-0.05,terms,23,14.324498648256892,4.252935044884406,0.0,52.14415113465638,0.6020646354027357,22,0
detailed,stress,previous_real_terms_synthetic,False,LIZARD KI,last_strike,-0.025,terms,23,6.302246313548099,1.8371445326657556,0.0,23.543833055927585,0.3930048166794349,22,0
detailed,stress,previous_real_terms_synthetic,False,LIZARD KI,last_strike,-0.01,terms,23,2.318800962283937,0.8095689213602143,0.0,9.49523823843151,0.23408868425374438,21,0
detailed,stress,previous_real_terms_synthetic,False,LIZARD KI,last_strike,-0.005,terms,23,1.0737483391643645,0.3450551441421172,0.0,4.495702435363649,0.15816361920628416,20,0
detailed,stress,previous_real_terms_synthetic,False,LIZARD KI,last_strike,0.005,terms,23,-1.077633740928722,-0.2395871089005114,-4.17855224156599,0.0,0.15501204960136059,0,19
detailed,stress,previous_real_terms_synthetic,False,LIZARD KI,last_strike,0.01,terms,23,-2.0526719591568794,-0.6408011282780454,-7.346365549361977,0.0,0.2146483558459855,0,19
detailed,stress,previous_real_terms_synthetic,False,LIZARD KI,last_strike,0.025,terms,23,-4.726276744673406,-1.4519825256500003,-17.70881670944377,0.0,0.32245389722739654,0,20
detailed,stress,previous_real_terms_synthetic,False,LIZARD KI,last_strike,0.05,terms,23,-8.374830414582501,-2.157654565236099,-31.39932646628256,0.0,0.42581471571199003,0,22
detailed,stress,previous_real_terms_synthetic,False,LIZARD no-KI,base,0.0,terms,23,0.0,0.0,0.0,0.0,0.0,0,0
detailed,stress,previous_real_terms_synthetic,False,LIZARD no-KI,coupon_regular,-0.01,terms,23,-56.95978901095213,-58.24657528788588,-86.86912577843371,-28.145323818752125,0.16593428747269276,0,23
detailed,stress,previous_real_terms_synthetic,False,LIZARD no-KI,coupon_regular,-0.005,terms,23,-28.479894505475844,-29.123287643944387,-43.434562889216295,-14.072661909375023,0.08296714373634631,0,23
detailed,stress,previous_real_terms_synthetic,False,LIZARD no-KI,coupon_regular,-0.0025,terms,23,-14.239947252737878,-14.561643821971488,-21.717281444607693,-7.0363309546875215,0.041483571868173114,0,23
detailed,stress,previous_real_terms_synthetic,False,LIZARD no-KI,coupon_regular,-0.001,terms,23,-5.695978901095217,-5.824657528789701,-8.686912577842888,-2.814532381874606,0.01659342874726922,0,23
detailed,stress,previous_real_terms_synthetic,False,LIZARD no-KI,coupon_regular,0.001,terms,23,5.695978901095171,5.824657528788233,2.814532381875614,8.686912577843488,0.01659342874726918,23,0
detailed,stress,previous_real_terms_synthetic,False,LIZARD no-KI,coupon_regular,0.0025,terms,23,14.239947252737991,14.561643821971504,7.03633095468853,21.71728144460808,0.04148357186817294,23,0
