item,isu_ord,opt_type,ki_yn,fair,mc,mc_iv,n_iv_udl,hv_ns,iv_boot,iv_ns,hv_ns_se,iv_boot_se,iv_ns_se
KR65433B4950,737202,LIZARD,0,0.9853030303030303,0.99363685,0.95861804,3,0.9928365870296955,0.956699145546183,0.9562576142529026,0.000508898514134105,0.0009015074429535909,0.0008918190722835257
KR6543367959,737203,STEP,0,0.9997555555555556,0.9839969,0.88416255,3,0.9841905343078077,0.8867174560248852,0.886926440876536,0.0006387118137559042,0.0013255638784237496,0.001316003274007359
KR65293BR958,737203,STEP,1,0.914376,0.9756245,0.9411046,2,0.9758017084540799,0.9386880648329854,0.9386424783686176,0.000886236951965277,0.0011403909604899428,0.0011273050019364398
KR6543359956,737203,LIZARD,0,0.9855070707070708,0.9883896,0.8984788,3,0.9882708641670644,0.898807765093632,0.8987542993322946,0.0005708343143617721,0.0012572255944059973,0.001246975206987339
KR6659338950,737203,STEP,1,0.886993,0.96221805,0.9274908,2,0.964956630122289,0.930111077721417,0.9302395129162818,0.0009520743912909256,0.0011742695441680662,0.001162854879394229
KR65433B2954,737203,LIZARD,0,1.0015787878787878,0.98818916,0.906797,3,0.9890993614800274,0.9076752087832428,0.907467625408154,0.0005308632260447931,0.0012181930337942799,0.0012080172901189916
KR65733C2950,737203,STEP,1,0.950569,0.99744105,0.8697632,3,0.9979535545799881,0.8718269228817895,0.8717565411647782,0.0003926207527872045,0.0013514701324858686,0.0013412093462750547
KR65333FR953,737203,STEP,0,0.988871,1.0377315,0.95099753,3,1.0372304374024273,0.9513142824439332,0.9499386394407601,0.0003364040190533038,0.0012565144045251322,0.0012384981484886157
KR65433CG951,737203,LIZARD,0,0.9969222222222224,0.99295545,0.8783775,3,0.9922804698877037,0.8789707537050359,0.8791786654126831,0.0005127485564160202,0.0013203555333192632,0.0013113238956538118
KR65333FT959,737203,STEP,1,0.978973,1.0040666,0.9647453,3,1.00396566446051,0.9641358000075445,0.9635654399231076,0.000470671703365262,0.0009096042223447163,0.0008979760679540298
KR65733C3958,737203,STEP,1,0.925435,0.99747336,0.855914,3,0.9985313429951668,0.8541950446586125,0.854278624518402,0.0005470878744458815,0.0014499563434936175,0.001439215540449756
KR65433CF953,737203,STEP,0,1.0098060606060606,0.98275405,0.9503988,3,0.9826343924764543,0.9499206124335527,0.9497363332439214,0.0007423603450383063,0.001022485867048813,0.0010084060029773199
KR65433CA954,737203,LIZARD,0,0.9971,0.99259305,0.870664,3,0.9913400646287948,0.8704827371317894,0.8705577518856152,0.0005873765429956899,0.001371582134521512,0.0013624226024800997
20190521000375_8070,737203,STEP,1,0.987916,0.99608064,0.94926345,3,0.997386575723812,0.9518171695947647,0.9509572049440816,0.0005058858017051888,0.0009587596528440791,0.0009462976998598968
KR65433CD958,737203,STEP,1,0.997629292929293,0.99797946,0.8779742,3,0.9981034989427775,0.8807381678432226,0.8812525990985334,0.0004927881171520262,0.0013516074329904854,0.0013404534819076398
KR65433CB952,737203,LIZARD,0,0.995069696969697,0.9899209,0.87400836,3,0.9901352835450321,0.8739790595592,0.8739660511779599,0.0005722848318920915,0.0013712765844208742,0.0013614594949673108
KR65433CE956,737203,STEP,1,0.995821212121212,0.99891275,0.9642136,3,0.9991867754235864,0.9641605859044939,0.9636544367365539,0.0004304052234137802,0.0008513453055128882,0.0008401217213609227
KR65433CH959,737203,LIZARD,0,0.9682040404040404,0.9853949,0.86805767,3,0.9841785810545087,0.8680053948543035,0.86805132016493,0.0005922498195012882,0.0013541835485318828,0.0013453856188953882
KR65433B0958,737203,LIZARD,0,0.9855050505050506,0.99016064,0.9061534,3,0.9907143972948194,0.9094930542781949,0.9090335844335147,0.0004901992218042568,0.0012000001665197677,0.0011907933097544947
KR6653336950,737203,LIZARD,0,0.8929790000000001,0.98294395,0.94868445,3,0.9832993262939155,0.9486989055044949,0.9485403243284672,0.0006723254508805829,0.0009785514929189275,0.0009661947691846787
KR65293BT954,737203,STEP,1,0.8839940000000001,0.95844036,0.8236024,2,0.9588905298702419,0.8233734227674082,0.8240176678579301,0.0011204365601882617,0.0016263426153589745,0.001615688186103522
KR6543390951,737203,STEP,1,1.0112290000000002,1.0110451,0.8734886,3,1.0110998497918249,0.8763900070311501,0.8763936624431051,0.0005753877166830984,0.0014541001998040653,0.0014420381391283496
KR6543391959,737203,STEP,1,1.003229,1.0067314,0.89207554,3,1.0064400704737753,0.8928021259027533,0.8933528223209083,0.0004706184473424261,0.0013454471448892584,0.0013339650771438131
KR65233BP958,737203,STEP,1,0.927078,0.9998967,0.8673867,3,0.9999973948363214,0.8683151630822569,0.8687388743252493,0.000544408901792695,0.0014126780519856206,0.0014027607476525944
KR6653334955,737203,LIZARD,1,0.901504,0.9890978,0.8614006,3,0.9893430823888629,0.8630304888814688,0.8632627571635879,0.0005827857902109755,0.0013895418138528419,0.0013815029840018823
KR65293BN957,737203,LIZARD,0,0.885763,0.97341543,0.9362084,2,0.9739224326053634,0.9365376422211528,0.9365090103488416,0.0009166394925934218,0.0011617194584318045,0.0011482001767511233
KR65493BZ957,737203,LIZARD,0,0.987626,0.9714034,0.93956447,2,0.9712063206193968,0.938575855576247,0.9386705935526639,0.0009714826830128172,0.0011840082755743791,0.001169419290949109
KR65233BQ956,737203,STEP,0,0.896523,0.980998,0.9408781,3,0.9801163119185716,0.9389706505874171,0.9386662631273269,0.0008895013884791991,0.001170514424648581,0.0011515270387719616
20190521000375_8071,737203,STEP,1,0.983656,0.98420876,0.93747216,3,0.9846322388380766,0.9385253377072513,0.938008288699016,0.000617577222314381,0.0010105285934344978,0.0009984838562937986
KR65433CC950,737203,STEP,1,0.9947868686868686,0.99058354,0.995961,3,0.9901693806819618,0.99527589536421,0.9942044112607836,0.0005001211673810242,0.00045567508927396057,0.00044407432491397976
KR65433C8950,737203,STEP,1,0.9984636363636364,0.9973726,0.8785914,3,0.9973397791046649,0.8769839655551128,0.877000717642717,0.00048048055653622946,0.0013560994182721046,0.0013462722421852796
KR6543368957,737203,STEP,0,1.008941414141414,0.9836427,0.9030202,3,0.9835973255552352,0.9035916768005118,0.9038873460243456,0.0006551557743726441,0.0012640369660869013,0.0012522492458012695
KR6543369955,737203,STEP,0,0.9888272727272728,0.97983444,0.8704179,3,0.9805601731155068,0.8698181354574859,0.8707201293876394,0.0007761044976738107,0.0014385147107682616,0.00142641396442836
KR6543366951,737203,LIZARD,0,0.9887444444444444,0.9854809,0.9510704,3,0.9844647948414087,0.9503023824548349,0.9501216326668859,0.0005973173582676753,0.0009255134310508735,0.0009141596651865144
KR6543358958,737203,LIZARD,0,0.9675434343434344,0.9824049,0.86141,3,0.9843479425236583,0.8636728398739361,0.8638412337545306,0.0006879564497092056,0.0014130642874674469,0.0014028285219099738
KR65233BL957,737203,STEP,1,0.980299,1.004137,0.89095247,3,1.004313681956753,0.8918085310767405,0.8910607040060684,0.0002835387803163689,0.0013028356568337504,0.0012905003174579148
KR65233BM955,737203,STEP,1,0.956963,1.0046558,0.8769725,3,1.005303568573296,0.8812816616969184,0.8811557293029502,0.00040738442228107995,0.00136520927327168,0.001354333303193322
KR65033BZ951,737203,STEP,1,0.934169,0.99894625,0.9584206,3,0.9998982340164483,0.9584114344269037,0.9578935795534402,0.000590983039628025,0.000980946228025842,0.0009676811636928716
